attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
5,4,10,3.0,60.0,128,0.001,128,0.99,1.5,0.11001361161470413,0.9568383097648621,0.14755582809448242,0.9446181058883667
5,4,10,3.0,60.0,128,0.001,128,0.97,2.0,0.11145743727684021,0.9621771574020386,0.1407892107963562,0.9527972936630249
5,4,10,3.0,60.0,128,0.001,128,0.99,2.0,0.16113732755184174,0.936586856842041,0.23710262775421143,0.923665463924408
5,4,10,3.0,60.0,128,0.001,256,0.97,1.0,0.6802412867546082,0.5612397193908691,0.6807312369346619,0.559790313243866
5,4,10,3.0,60.0,128,0.001,256,0.99,1.0,0.21781881153583527,0.9092950820922852,0.2591340243816376,0.9014652371406555
5,4,10,3.0,60.0,128,0.001,256,0.97,1.5,0.11816969513893127,0.9591159820556641,0.15760275721549988,0.9431272745132446
5,4,10,3.0,60.0,128,0.001,256,0.99,1.5,0.16586492955684662,0.9398590922355652,0.24021869897842407,0.9203237891197205
5,4,10,3.0,60.0,128,0.001,256,0.97,2.0,0.10779019445180893,0.9570142030715942,0.18075846135616302,0.9354255795478821
5,4,10,3.0,60.0,128,0.001,256,0.99,2.0,0.05003552883863449,0.9837649464607239,0.14181804656982422,0.9643357396125793
5,16,10,3.0,60.0,32,0.0005,128,0.97,1.0,0.13392992317676544,0.9518564343452454,0.16221721470355988,0.9498264789581299
5,16,10,3.0,60.0,32,0.0005,128,0.99,1.0,0.19041329622268677,0.9271324872970581,0.2023427039384842,0.9342905879020691
5,16,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.15019665658473969,0.9383111000061035,0.2050919234752655,0.9190475940704346
5,16,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.17910991609096527,0.9347735047340393,0.24222703278064728,0.9141609072685242
5,16,10,3.0,60.0,32,0.0005,128,0.97,2.0,0.10978597402572632,0.9602668881416321,0.21164555847644806,0.9456597566604614
5,16,10,3.0,60.0,32,0.0005,128,0.99,2.0,0.09302196651697159,0.9635103344917297,0.1609129160642624,0.9461131691932678
5,16,10,3.0,60.0,32,0.0005,256,0.97,1.0,0.11565771698951721,0.9546365141868591,0.15058933198451996,0.9356138706207275
5,16,10,3.0,60.0,32,0.0005,256,0.99,1.0,0.08029764890670776,0.9713332653045654,0.1926705241203308,0.9543508291244507
5,16,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.08501837402582169,0.970509946346283,0.1465037316083908,0.9563801884651184
5,16,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.008099598810076714,0.9980441927909851,0.07063139975070953,0.9904593229293823
5,16,10,3.0,60.0,32,0.0005,256,0.97,2.0,0.031128428876399994,0.9915504455566406,0.07036269456148148,0.9844710230827332
5,16,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.030460121110081673,0.9919591546058655,0.13142205774784088,0.9642086029052734
5,16,10,3.0,60.0,32,0.001,128,0.97,1.0,0.1099458783864975,0.9564200043678284,0.1180046945810318,0.9577339291572571
5,16,10,3.0,60.0,32,0.001,128,0.99,1.0,0.3197697401046753,0.8619807362556458,0.3590255677700043,0.8599388003349304
5,16,10,3.0,60.0,32,0.001,128,0.97,1.5,0.10757195949554443,0.9659463763237,0.1505746692419052,0.9605035781860352
5,16,10,3.0,60.0,32,0.001,128,0.99,1.5,0.04324335232377052,0.9849459528923035,0.11537276208400726,0.9655476808547974
5,16,10,3.0,60.0,32,0.001,128,0.97,2.0,0.10191211104393005,0.9658575057983398,0.16514499485492706,0.9473498463630676
5,16,10,3.0,60.0,32,0.001,128,0.99,2.0,0.028987105935811996,0.9925599694252014,0.15682847797870636,0.9666077494621277
5,16,10,3.0,60.0,32,0.001,256,0.97,1.0,0.6848055124282837,0.5553128123283386,0.6816700100898743,0.5537102222442627
5,16,10,3.0,60.0,32,0.001,256,0.99,1.0,0.6838691234588623,0.5491369366645813,0.6938027739524841,0.525085985660553
5,16,10,3.0,60.0,32,0.001,256,0.97,1.5,0.05216682702302933,0.9812416434288025,0.09856201708316803,0.9705072045326233
5,16,10,3.0,60.0,32,0.001,256,0.99,1.5,0.009107410907745361,0.9972458481788635,0.05007879063487053,0.9900350570678711
5,16,10,3.0,60.0,32,0.001,256,0.97,2.0,0.020526641979813576,0.9920570850372314,0.03355902060866356,0.9883161783218384
5,16,10,3.0,60.0,32,0.001,256,0.99,2.0,0.050232138484716415,0.9878196716308594,0.17348508536815643,0.9618880152702332
5,16,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.1468154937028885,0.9462210536003113,0.1832379698753357,0.9369257688522339
5,16,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.17420032620429993,0.9392052292823792,0.22485220432281494,0.9160140752792358
5,16,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.1803010106086731,0.9364086985588074,0.20928750932216644,0.9249141812324524
5,16,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.15908057987689972,0.9420041441917419,0.19898256659507751,0.925844669342041
5,16,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.11485161632299423,0.9593693614006042,0.19228661060333252,0.9454392194747925
5,16,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.20683057606220245,0.9111002087593079,0.28496095538139343,0.8833333849906921
5,16,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.14940698444843292,0.9410382509231567,0.1772615611553192,0.9323676228523254
5,16,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.1092459112405777,0.9617857336997986,0.2038687765598297,0.9336486458778381
5,16,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.12657098472118378,0.954338550567627,0.15105965733528137,0.9421795606613159
5,16,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.08736911416053772,0.9664958715438843,0.09729384630918503,0.9640569090843201
5,16,10,3.0,60.0,64,0.0005,256,0.97,2.0,0.0718999058008194,0.9753257036209106,0.08751895278692245,0.9729244112968445
5,16,10,3.0,60.0,64,0.0005,256,0.99,2.0,0.04298125207424164,0.9864698648452759,0.0979788675904274,0.9676476120948792
5,16,10,3.0,60.0,64,0.001,128,0.97,1.0,0.13933099806308746,0.9449825286865234,0.1688268929719925,0.9361774325370789
5,16,10,3.0,60.0,64,0.001,128,0.99,1.0,0.20401467382907867,0.9150895476341248,0.23015515506267548,0.9161555171012878
5,16,10,3.0,60.0,64,0.001,128,0.97,1.5,0.10521368682384491,0.9617378115653992,0.15485884249210358,0.9470837116241455
5,16,10,3.0,60.0,64,0.001,128,0.99,1.5,0.03863803297281265,0.9887101650238037,0.08507630974054337,0.9762799143791199
5,16,10,3.0,60.0,64,0.001,128,0.97,2.0,0.15977118909358978,0.9411585927009583,0.20863378047943115,0.9237762689590454
5,16,10,3.0,60.0,64,0.001,128,0.99,2.0,0.08124563843011856,0.9728388786315918,0.17102299630641937,0.9443299770355225
5,16,10,3.0,60.0,64,0.001,256,0.97,1.0,0.6898213624954224,0.5354283452033997,0.6896374821662903,0.5147841572761536
5,16,10,3.0,60.0,64,0.001,256,0.99,1.0,0.1288231909275055,0.9582711458206177,0.17507044970989227,0.9515464901924133
5,16,10,3.0,60.0,64,0.001,256,0.97,1.5,0.0883723571896553,0.9642112851142883,0.1723233461380005,0.9480903148651123
5,16,10,3.0,60.0,64,0.001,256,0.99,1.5,0.021896012127399445,0.9934102296829224,0.09063079208135605,0.9839045405387878
5,16,10,3.0,60.0,64,0.001,256,0.97,2.0,0.055404748767614365,0.9795042276382446,0.1375669687986374,0.9564749002456665
5,16,10,3.0,60.0,64,0.001,256,0.99,2.0,0.027781670913100243,0.990856409072876,0.12321283668279648,0.9696043729782104
5,16,10,3.0,60.0,128,0.0005,128,0.97,1.0,0.20897337794303894,0.9099653363227844,0.21301421523094177,0.9157716631889343
5,16,10,3.0,60.0,128,0.0005,128,0.99,1.0,0.22482392191886902,0.9151703119277954,0.28120067715644836,0.9068904519081116
5,16,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.23341494798660278,0.9006474614143372,0.2680228352546692,0.8763250112533569
5,16,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.21316692233085632,0.9117112159729004,0.25386062264442444,0.8947916030883789
5,16,10,3.0,60.0,128,0.0005,128,0.97,2.0,0.2707955539226532,0.8889715671539307,0.33312156796455383,0.8722421526908875
5,16,10,3.0,60.0,128,0.0005,128,0.99,2.0,0.18248774111270905,0.928934633731842,0.23319151997566223,0.9100682139396667
5,16,10,3.0,60.0,128,0.0005,256,0.97,1.0,0.10369899868965149,0.9635257720947266,0.17541980743408203,0.9610322117805481
5,16,10,3.0,60.0,128,0.0005,256,0.99,1.0,0.1250726878643036,0.9525923132896423,0.17671632766723633,0.9325284361839294
5,16,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.10636170208454132,0.9633861780166626,0.15820008516311646,0.9350410103797913
5,16,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.16713625192642212,0.9411355257034302,0.22718976438045502,0.9230132102966309
5,16,10,3.0,60.0,128,0.0005,256,0.97,2.0,0.11994560062885284,0.9548404216766357,0.20639203488826752,0.9356890320777893
5,16,10,3.0,60.0,128,0.0005,256,0.99,2.0,0.10759548097848892,0.9635374546051025,0.1918194591999054,0.9334852695465088
5,16,10,3.0,60.0,128,0.001,128,0.97,1.0,0.3694514334201813,0.8430318236351013,0.4001048505306244,0.8266950249671936
5,16,10,3.0,60.0,128,0.001,128,0.99,1.0,0.24525262415409088,0.8985721468925476,0.260187029838562,0.8994662761688232
5,16,10,3.0,60.0,128,0.001,128,0.97,1.5,0.10227151960134506,0.9665159583091736,0.2177591770887375,0.9449652433395386
5,16,10,3.0,60.0,128,0.001,128,0.99,1.5,0.10340511053800583,0.9628040194511414,0.1305534541606903,0.9603148698806763
5,16,10,3.0,60.0,128,0.001,128,0.97,2.0,0.18135176599025726,0.9221307039260864,0.23353606462478638,0.9110140204429626
5,16,10,3.0,60.0,128,0.001,128,0.99,2.0,0.07642105966806412,0.9723122119903564,0.1521519124507904,0.9451388120651245
5,16,10,3.0,60.0,128,0.001,256,0.97,1.0,0.6862319707870483,0.5470483899116516,0.6891123652458191,0.5015900731086731
5,16,10,3.0,60.0,128,0.001,256,0.99,1.0,0.2815765142440796,0.8834751844406128,0.2602943181991577,0.8917831778526306
5,16,10,3.0,60.0,128,0.001,256,0.97,1.5,0.10128934681415558,0.9620121121406555,0.1855752170085907,0.9402172565460205
5,16,10,3.0,60.0,128,0.001,256,0.99,1.5,0.020784102380275726,0.9941256046295166,0.049876511096954346,0.9893470406532288
5,16,10,3.0,60.0,128,0.001,256,0.97,2.0,0.24416014552116394,0.9024016857147217,0.2612918019294739,0.8971460461616516
5,16,10,3.0,60.0,128,0.001,256,0.99,2.0,0.033081140369176865,0.9904301762580872,0.12132197618484497,0.972261369228363
