attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,16,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.03884703665971756,0.9885164499282837,0.1083998829126358,0.9774323105812073
3,16,10,3.0,60.0,32,0.001,128,0.97,1.0,0.2908470630645752,0.8681778311729431,0.32291707396507263,0.858762800693512
3,16,10,3.0,60.0,32,0.001,128,0.99,1.0,0.06894557178020477,0.9770817756652832,0.14016534388065338,0.963541567325592
3,16,10,3.0,60.0,32,0.001,128,0.97,1.5,0.2047654688358307,0.9077468514442444,0.22843077778816223,0.9124556183815002
3,16,10,3.0,60.0,32,0.001,128,0.99,1.5,0.02489316463470459,0.99443519115448,0.05669580027461052,0.984123945236206
3,16,10,3.0,60.0,32,0.001,128,0.97,2.0,0.07354659587144852,0.9718416929244995,0.16082729399204254,0.9561837911605835
3,16,10,3.0,60.0,32,0.001,128,0.99,2.0,0.03161558881402016,0.9905999898910522,0.07264013588428497,0.9806272983551025
3,16,10,3.0,60.0,32,0.001,256,0.97,1.0,0.6898217797279358,0.5246584415435791,0.6942005157470703,0.5023890733718872
3,16,10,3.0,60.0,32,0.001,256,0.99,1.0,0.6836064457893372,0.5473653674125671,0.6825729012489319,0.5386363863945007
3,16,10,3.0,60.0,32,0.001,256,0.97,1.5,0.13435077667236328,0.9466043710708618,0.21311047673225403,0.9273195862770081
3,16,10,3.0,60.0,32,0.001,256,0.99,1.5,0.01281148660928011,0.9948115944862366,0.03555494174361229,0.9909555315971375
3,16,10,3.0,60.0,32,0.001,256,0.97,2.0,0.13736386597156525,0.9485361576080322,0.15159381926059723,0.9465035200119019
3,16,10,3.0,60.0,32,0.001,256,0.99,2.0,0.00498726312071085,0.9986857175827026,0.0787619948387146,0.9890784621238708
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.1973831057548523,0.9247855544090271,0.23636649549007416,0.9265122413635254
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.2023141235113144,0.9208338260650635,0.21032337844371796,0.9180155396461487
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.18595407903194427,0.9302706122398376,0.20999594032764435,0.921330988407135
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.12964986264705658,0.9553617835044861,0.172005757689476,0.9407094120979309
